책제목,글쓴이,출판사,출판년,대여료
젠틀 매드니스,니콜라스 A. 바스베인스 지음 ; 표정훈 ; 김연수 ; 박중서 [공]옮김,뜨인돌,2006,4601
개에게 뼈다귀를 주세요,브라이언 와일드스미스 글.그림 ; 박숙희 옮김,비룡소,2010,2217
수채화 세계도시기행,이재오 ; 원제무 [공]지음,시사플러스,2005,2992
(청소년이 꼭 알아야 할)단숨에 읽는 세계인물,김근태 지음,베이직북스,2007,5921
"21세기 웅진학습백과사전. 17 : 생물,인체 ㅈ-ㅎ",웅진다책 편집부 편,웅진다책,2012,5936
아빠가 좋아,사노 요쿄 글.그림 ; 김난주 옮김,비룡소,2010,5997
유혹 : 권지예 장편소설. 2,권지예 지음,민음사,2011,4823
칭찬 심리학,나히토 요시히토 지음  ; 최선임 옮김,지식여행,2011,7150
종이인형  : 황경신의 사랑동화,황경신 지음,BF북스,2011,7232
(만화로 보는)학과의 세계. 2,와이즈멘토 지음 ; 이주한 그림,동아일보사,2009,8918
제1과 제1장  : 이무영 소설,이무영 [저],문이당,2008,7142
백만 불짜리 웃음 : 잘 웃는 사람이 성공한다,문석근 지음,열매출판사,2006,10000
태권도 품새 교본,[오성출판사 편집부 편],오성출판사,2008,9136
사랑하다 죽다,박종성 지음,인간사랑,2012,4555
"감히, 아름다움 : 우리 삶의 아름다움을 찾아가는 열한 갈래의 길",최재천 등저,이음,2011,9616
미국인이 가장 많이 쓰는 테마별 영어 BOX,백선엽 지음,넥서스,2008,4710
"서울, 건축의 도시를 걷다. 1, 사대문 안과 구도심",임석재 지음,인물과사상사,2010,5498
애거서 크리스티 전집. 7 : 살인을 예고합니다,애거서 크리스티 지음 ; 이은선 옮김,황금가지,2008,2545
(완역)옥루몽. 2,남영로 지음 ; 김풍기 옮김,그린비,2006,2133
일본체험사전,김혁 글.사진 ; 홍원표 그림,갤리온,2009,3813
"시장에 간 길동이, 경제 박사 되다",이명애 글 ; 안창숙 그림,파란자전거,2006,1126
내 친구 비차 : 니콜라이 노소프 장편동화,"노소프, 니콜라이",사계절,2006,1041
나의 아름다운 마라톤  : 이채원 장편소설,이채원 지음,현대문학,2012,5773
