책제목,글쓴이,출판사,출판년,대여료
오늘은 날씨가 어떨까,린다 듀잇 글  ; 캐롤린 크롤 그림  ; 햇살과 나뭇꾼 옮김,웅진,2005,5291
Arthur and the big blow-up,"Brown, Marc",Little Brown and company,2009,7599
(조벽 교수의)인재 혁명,조벽 지음,해냄,2012,2690
공부는 왜 하나?,조은수 글.그림,해그림,2012,3554
(스크린의 독재자) 찰리 채플린,김별아 지음,이룸,2007,7748
불가사리,이디스 허드 글  ; 로빈 브릭먼 그림  ; 햇살과 나뭇꾼 옮김,웅진,2005,5937
정조 치세어록,안대회 글,푸르메,2011,1606
(수학 공부가 즐거워지는)수학일기 쓰기,이정 외 글 ; 김상인 그림,주니어김영사,2011,4525
(청소년을 위한)동양철학사 : 고대 신화부터 현대 동양철학까지,임선영 지음,두리미디어,2010,4498
대한민국 스피킹 살리기 : 정철영어혁명2탄,정철 지음,정철연구소,2010,5266
성경과 고대정치,조병호 지음,통독원,2011,8974
명창 이야기,최동현 지음,신아출판사,2011,9616
선인장 호텔,브렌다 기버슨 글 ; 미간 로이드 그림 ; 이명희 옮김,마루벌,2008,3081
연인을 위한 송가 : 제2회 남촌문학상 수상 수필집,주연아,계간문예,2007,9156
외국영화 포스터 1 : 1953-1969,정종화 엮음,범우사,2001,2270
맥으로 읽는 성경. 1 : 행복코드: 꿈의 성취를 향하여,차동엽 글,위즈앤비즈,2010,4527
엑셀 매크로 VBA,윤경식 지음,웰북,2007,5342
난 멋진 형아가 될 거야 : 이미애 창작동화,이미애,푸른책들,2012,5223
꿈의 도시 : 오쿠다 히데오 장편소설,오쿠다 히데오 지음 ; 양윤옥 옮김,은행나무,2011,6583
"녹색 핸드백, 스기하라 사야카. 15세 가을",아카가와 지로 지음 ; 한성례 옮김,씨엘북스,2012,1038
적,엠마뉘엘 카레르 지음 ; 윤정임 옮김,열린책들,2007,1234
6.25전쟁 60주년 UN 참전 기념시설물 도감. 1 : 국내시설물,국가보훈처 [편],국가보훈처,2010,7981
엠마 : 제인 오스틴 장편소설. 하,제인 오스틴 지음 ; 이미애 옮김,열린책들,2011,1613
벚꽃 뜰,박청호 저.,생각의 나무,2006,8603
쉬 트래블스 : 라틴아메리칸 다이어리. 2,박정석 지음,효형출판,2006,1918
"꼭 읽어야 할 세계단편. 1, 프랑스편",송승환 편저,타임기획,2000,6329
"초등 학급운영. 3, 학급문화 가꾸기",우리교육 엮음,우리교육,2005,2573
시간 여행 비누 거품. 2,요 네스뵈  ; 이정윤  ; .트랜지스터,타임주니어,2011,6306
왜 박지원은 『열하일기』를 썼을까?,정명섭  ; 장웅진 [공]글  ; 이일선 그림,자음과모음,2012,4029
내 아이 표현의 달인 만들기  : 3-7세 표현력 향상 멘토링,김난희 저,끌레마,2012,6468
문학 교과서 작품 읽기  : 수필극 필수편. [7],오세호  ; 이승희  ; 정지영 [공]엮음,창비,2011,1062
(2012) 보수 vs 진보 : 제3물결 정치를 위한 희망 선언,정광윤 지음,다움북스,2011,9259
나리초등학교 스캔들 : 하은경 장편동화,하은경,한겨레아이들,2012,7341
일본 신화와 천황제 이데올로기 : 신화와 역사 사이에서,김후련 지음,책세상,2012,6331
천개의 공감,김형경 지음,한겨레출판,2007,4188
컴퓨터일반  : 9급 전산직,"허빈, 심재호, 공지은 공편",서울고시각,2011,2550
삶의 한가운데,"린, 루이제",민음사,2005,2232
영어가 길어지는 단 한가지 기술,Carol J. Noh ; Jeffry J. Pitterson [공]지음,MRSUN.COM,2011,3645
Pieces of you,Tablo 지음,달,2009,2250
용이 된 선묘 낭자,김춘옥 글  ; 이선주 그림,봄봄,2012,1055
애거서 크리스티 전집. 9 : 누명,애거서 크리스티 지음 ; 권도희 옮김,황금가지,2006,8348
바람을 느껴봐,아서 도로스 글·그림  ; 햇살과나무꾼 옮김,웅진,2005,8758
세계에서 가장 아름다운 도시 100,비니프리드 마스 ; 앤 벤투스 ; 한스-요하임 뇌베르 [공]지음 ; 서영조 옮김,터치아트,2007,7934
분노하라,스테판 에셀 지음 ; 임희근 옮김,돌베개,2011,8958
불대장 망개,유타루 지음 ; 전종문 그림,바람의 아이들,2005,3659
우리가 보낸 순간 : 날마다 읽고 쓴다는 것 · 시,김연수 지음,마음산책,2010,7572
"나라 꽃, 무궁화를 찾아서",김숙분 글  ; 박수민 그림,가문비어린이,2011,3639
클래식 기타 입문,폴 헨리 지음,SRMUSIC,2009,3286
노는 도서관 배우는 도서관 : 온종일 놀아도 즐거운 도서관!,서해경 ; 이소영 [공]글 ; 황금혜선 그림,현암사,2010,6337
일본신화와 고대한국,노성환,민속원,2010,9531
심인광고,이승우 지음,문이당,2005,9671
나는 거대한 꿈을 꿨다,이나리 지음,중앙엠앤비,2012,4303
우리는 달려간다,박성원 지음,문학과 지성사,2005,3917
나전장 김봉룡의 도안 : 한국 근·현대 나전도안,국립문화재연구소 편,국립문화재연구소,2010,7990
(이야기)우리 속담,장영주 글씀 ; 최효애 그림,창작나무,2005,8764
레퀴엠,뤼크 피베 지음 ; 양진성 옮김,살림출판사,2011,8908
멋스러운 옛시조 흥겨운 우리 노래,우리누리 지음  ; 홍우리 그림,주니어중앙,2012,3593
(초등)과학으로 리더되기,배정인,와이즈만books,2012,3027
만리 중국사. 02 : 춘추전국 1,쑨자위 ; 상자펑 [공]지음 ; 류방송 옮김,이담북스,2014,2145
와인견문록 : 보르도에서 토스카나까지 세계 최고의 와인에 담긴 문화와 역사,고형욱 지음,이마고,2009,8960
(8051)VHDL 코어의 완전분석 및 어셈블러의 개발,장경선,홍릉과학출판사,2006,5195
끝나지 않은 길,M. 스콧 펙 지음 ; 김창선 옮김,소나무,2003,7713
여자를 위한 인생 10강 : 신달자 에세이,신달자 지음,민음사,2011,7378
축제기획의 실제,박준흠 지음,한울,2011,6268
"한국어 경어법, 힘과 거리의 미학",이정복 지음,소통,2011,6218
왕을 찾아서 : 성석제 장편소설,성석제 지음,문학동네,2011,2435
"단기 상담-학교,상담자를 위한 해결 중심적 접근-","제럴드 B. 스클레어 지음, 송현종 옮김",학지사,2001,7222
(이동식의)걷기,이동식 글 ; 장진희 [외]사진,나눔사,2011,6976
한국소설의 언어 의식,김정숙 지음,태학사,2009,1497
틈새에 뜬 무지개. Ⅱ,김강준 지음,에세이,2007,6279
여자이기 때문에 당하지 말고 당차게 살아라, ,푸른솔,2001,6749
나의 멘토 나의 성인,제임스 마틴 지음  ; 성찬성 옮김,가톨릭,2011,2855
삼국지의 세계 : 역사의 이면을 보다,"김문경 지음 ; 송완범, 신현승, 전성곤 [공]옮김",성균관대학교 출판부,2011,3135
퓰리처상 사진,핼 부엘 지음  ; 박우정 옮김,현암사,2011,3362
신부님 우리들의 신부님. 2,죠반니노 과레스끼 지음 ; 이승수 옮김,서교출판사,2008,5454
남의 사랑 이야기  : 김신회 에세이,김신회 지음,북노마드,2012,1144
굿모닝 인터뷰 영어,연호택 ; 박종호 ; Jullian Lee [공]저,Korea Language PLUS,2009,4048
한국전통식품,김영희 ; 임정교 공저,효일,2007,4455
"베를린, 젊은 예술가들의 천국 : 베를린의 미술과 미술 환경에 관한 에세이",조이한 글.그림,현암사,2010,1968
왕이 된 노예,김효정 새로엮음 ; 허수진 그림,교원,2011,7709
포스트모던 시대의 그리스도교 윤리,김정우 글,위즈앤비즈,2009,6019
국민참여시대의 한국 정당,이원종 저,나남출판,2006,1018
보트 하우스,장정일 지음,김영사,2005,4143
"바람, 그 끝자락에 서다",최승헌 지음,천년의시작,2008,2191
"1945, 철원 : 이현 장편소설",이현,창비,2012,4725
구호로 보는 시대풍경전,행정안전부 국가기록원,행정안전부 국가기록원,2008,4786
아침 햇살이 담긴 팬케이크,조나단 런던 글 ; 브라이언 카라스 그림 ; 남경완 옮김,비룡소,2006,9892
전통을 이은 한국 꽃꽂이,고하수 지음,민속원,2012,9540
김원중 교수의 청소년을 위한 삼국유사,일연 지음  ; 김원중 엮고 옮김,민음인,2012,8301
왓칭 : 신이 부리는 요술,김상운 지음,정신세계사,2011,1557
여행할 권리  :김연수 산문집,김연수 지음,창비,0,7504
조지훈,조지훈 지음,돌베개,2003,4746
가정교육의 함정  : 모든 부모가 보아야 할 가정교육의 지침서,하영철,오래,2012,6057
시크릿 SEOUL,정기범 ; 윤영주 [공]지음,시공사,2012,7427
그림으로 똑똑한 아이 키우기,니칼라스 캐틀로우 지음  ; 신형건 옮김,푸른책들,2011,8818
손공자수,이지은 글·사진,다빈치,2007,8115
폭풍의 언덕,"브론테, 에밀리",하서출판사,2010,1722
롤러코스터 : 교육소설,배명희[등]지음,나무의숲,2010,5358
"돈, 섹스, 권력","리처드 포스터 지음, 김영호 옮김",두란노,2005,9296
"우주 시대의 개막, 달에 착륙하다",캐롤 스토트 글 ; 리처드 본슨 그림 ; 이충호 옮김,문학동네,2005,4575
만리 중국사. 03 : 춘추전국 2,쑨자위 ; 상자펑 [공]지음 ; 류방송 옮김,이담북스,2014,9346
풀 한 포기 다치지 않기를,"클로드 안쉰 토머스 지음, 황학구 옮김",정신세계사,2007,2071
국제해양법,"박찬호, 김한택 [공]저",서울경제경영,2011,7484
(한국 외교)어제와 오늘,김창훈 지음,한국학술정보,2008,9392
(미치도록 쉬운)기타 연주곡집,삼호ETM 편,삼호ETM,2012,8896
(카를 융)기억 꿈 사상,카를 구스타프 융 저 ; A. 아페 편집 ; 조성기 옮김,김영사,2008,8920
창의적인 수업 아이디어 56가지,우리교육 엮음,우리교육,2008,9519
무민과 모두의 언덕,"얀손, 토베",작가정신,2012,6056
(온달과 평강의) 단양 문화 여행,에듀팅 글.그림,단양군,2008,9933
압둘 가사지의 정원,크리스 반 알스버그 글.그림 ; 이상희 옮김,베틀북,2004,4720
왜 아껴 써야 해? : 절약하는 습관을 길러주는 책,방미진,스콜라,2011,1638
현대신학의 흐름 계시와 응답 : 계시와 응답. 제1권 : 종교개혁에서 틸리히까지,김동건,대한기독교서회,2008,4538
안네의 일기,"프랑크, 안네",삼성,2012,9108
이슬람  : -원리와 개론-,무함마드 A. tngkdla,알림,2007,4061
Workin' on the railroad  :And other favorite rhymes,Trudy corporation,Little sound prints,2007,8330
디스럽트,루크 윌리엄스 지음 ; 김지현 옮김,황소자리,2011,8835
병수,송영,우리교육,2004,6351
휴전선의 무지개,이명희 엮음,문학과지성사,2002,6266
(조윤범의)파워클래식,조윤범 저,살림,2011,4552
"23살의 선택, 맨땅에 헤딩하기",유수연 지음,소담출판사,2007,7693
교육학,권성,한국교육문화원,2001,8943
레 미제라블 . 5,"위고, 빅토르",민음사,2012,6583
런던 디자인 산책,김지원 글,나무수,2012,4974
카셀이 들려주는 환율 이야기,승지홍 저,자음과모음,2012,8401
웹 & 모션 타이포그래피의 정수,이현영 지음,정보문화사,2011,2145
PD가 말하는 PD,김민식,부키,2008,1487
이리 오너라! 옛날 옛적 관혼상제 : 교과서 속 관혼상제 이야기,김경희 글 ; 이덕진 그림,조선books,2011,8249
(최신)유전학,D. Peter Sunstad ; Michael J. Simmons [공]저 ; 김상구...[등역],범한서적,2007,3741
요트,서하진 지음,문학동네,2006,2185
도시생활자의 정치백서,"하승우, 유해정 지음",북하우스,2010,2030
"초등 학급운영. 1, 학급운영 터잡기",우리교육 엮음,우리교육,2005,4384
마중물,정여송 지음,수필과비평사,2008,8076
행복한 멈춤,존 하리차란 지음 ; 유리타 옮김,살림,2007,4305
중학생 한국 단편소설. 5,"김정한...[등]지은이, 임융웅 엮음",서림문화사,2005,2876
착한 영어 팝니다,서석영 글 ; M·제아 그림,처음주니어,2009,5254
방황해도 괜찮아 : 법륜 스님의 청춘 멘토링,법륜 지음 ; 박승순 그림,지식채널,2012,4356
Buster's dino dilemma,"Brown, Marc",Little Brown and company,2009,7707
내 머리에 새가 살아요!,우소영,책내음,2012,6145
세계 지형 여행 : 여행지의 자연 경관 미리보기,로버트 야람 지음 ; 한무일 옮김 ; 데이빗 로빈슨 감수,황금비율,2011,3278
아이 러브 포토 스타일 : 소중한 일상을 즐기는 포토 레시피 73,Mosh books 글·사진 ; 정유선 옮김,아이콘북스,2009,2041
(서울대선정)동서고전 200선. 3 : 해제,반덕진 편저,가람기획,1997,3259
(과학과 기술로 본) 세계사 강의,제임스 E. 매클렐란 3세 ; 해럴드 도른 공저 ; 전대호 옮김,모티브북,2006,2339
소녀와 비밀의 부채. 1,리사 시 지음 ; 양선아 옮김,밀리언 하우스,2006,9813
사회성측정 : 이론과 실제,안이환 지음,서현사,2007,1962
그 청년 바보의사,안수현 지음  ; 이기섭 엮음,아름다운사람들,2009,9312
(신세대를 위한)통일이야기,차종환 ; 김용현 ; 장봉수 [공] 편저,예가,2004,3368
아티스트를 위한 멘토링 : 예술가들이 말하는 창의적인 사람으로 사는 법,이언 잭맨 엮음 ; 손희경 옮김,아트북스,2009,8262
우리말 소반다듬이,권오운 지음,문학수첩,2011,8443
허생전,박지원 지음  ; 구인환 엮음,신원문화사,2003,8455
무역실무일본어,이교원 저,문운당,2011,3692
건축의 이론과 역사,만프레도 타푸리 지음 ; 김일현 옮김,동녘,2009,3263
동이 : 성군 영조를 낳은 후궁,이준혁 글,문예춘추사,2010,1956
한국사 이야기. 18 : 민중의 함성 동학농민전쟁,이이화 지음,한길사,2008,9063
(한 권으로 보는)권모술수,이언호 편역,큰방,2002,3393
독도대전  : 블록버스터 사이버전쟁 소설,유성일 지음,행성비,2012,3416
(재키의)무대뽀 헝그리 유학성공기,이은승 지음,넥서스,2005,8144
루어낚시 첫걸음,조홍식 지음,황금시간,2009,3515
"푸코 & 하버마스 : 광기의 시대, 소통의 이성",하상복 지음,김영사,2009,8736
나 자신과의 대화,넬슨 만델라 지음 ; 윤길순 옮김,RHK,2013,5018
토머스 하디와 여성론 비평,장정희 지음,L.I.E.,2007,6994
(어린이를 위한)음악사전,박영수 지음,입력,1999,4415
먹다 먹힌 호랑이,강벼리 글  ; 문종훈 그림,한림,2012,6399
"유전, 운명과 우연의 자연사",제니퍼 애커먼 지음 ; 한정택 감수 ; 진우기 옮김,양문,2003,2170
성공한 사람은 사소한 일에 목숨을 걸지 않는다,리처드 칼슨 ; 박혜진 옮김,창해,2001,1418
이렇게나 똑똑한 식물이라니!,김순한 글 ; 이유리 그림,토토북,2008,1752
(교실 밖) 상식 놀이터,선대규...[등]지음,학지사,2012,2526
밤의 분명한 사실들 : 진수미 시집,진수미,민음사,2012,7562
무지개가 떴다,고정욱,북멘토,2012,3981
아무도 대답하지 않았다,배봉기,사계절,2009,7101
중세철학 이야기,K. 플라시 지음 ; 신창석 옮김,서광사,1998,8354
"촘스키, 러셀을 말하다 : 세계를 해석하는 것에 대하여, 세계를 변혁하는 것에 대하여",노엄 촘스키 지음 ; 장영준 옮김 ; 김한조 그림,시대의창,2011,1704
Arthur and the perfect brother,"Brown, Marc",Little Brown and company,2009,5470
신여성 : 매체로 본 근대 여성 풍속사,연구공간수유+너머근대매체연구 지음,한겨레신문사,2005,5168
경제학의 배신 : 시장은 아무것도 주지 않는다,라즈 파텔 지음 ; 제현주 옮김,북돋움,2011,1986
우리 할아버지는 106세,마츠다 모토코,아이세움,2004,9542
백 년 동안의 침묵 : 박정선 장편소설,박정선 지음,푸른사상사,2011,3811
(종림잡설)망량의 노래,종림 지음,호미,2007,8207
아담과 이브는 배꼽이 있었을까요,"매튜 핀토 지음, 차원호 옮김",다른우리,2006,3310
한국 가정 요리 : 태국어판,대우증권사회봉사단 엮음,부키,2012,7314
"여자 38, 두번째 선택",김은영 지음,파프리카,2009,9349
인권을 외치다,류은숙 지음,푸른숲,2009,9366
관혼상제 성씨보감,이설산,설산출판사,2001,9181
누란,현기영 저,창비,2009,1031
그리스.로마극의 세계. 1,고전.르네쌍스드라마한국학회 [편],동인,2000,1857
"막걸리, 넌 누구냐? : 색깔 있는 술, 막걸리의 모든 것",허시명 지음,"예담,",2010,6240
은닉  : 숨기려 해도 숨길 수 없는 마음 :배명훈 장편소설,배명훈 지음,북하우스,2012,8448
엉터리 명궁 사위 : 퐁퐁퐁 지혜 이야기,전경남,해와 나무,2011,3669
"의식주, 살아있는 조선의 풍경",한국고문서학회 지음,역사비평사,2006,6512
붓다를 죽인 부처,박노자 지음,인물과 사상사,2011,9815
모세처럼 기도하고 여호수아처럼 실행하라,전옥표 지음,중앙북스,2012,4024
여우와 아이,뤽 자케 원작 ; 플로랑스 레이노 글 ; 허보미 옮김,톡,2011,1959
(대대손손 물려줄)우리 국보와 보물,유송아 지음  ; 김은미 그림,주니어RHK,2012,4227
(고우영)초한지. 1,고우영 지음,자음과모음,2006,6306
토기의 간,김재욱 글,랭기지플러스,2010,6777
호이겐스가 들려주는 파동 이야기,정완상 지음,자음과모음,2005,4044
뽀뽀는 이제 그만!,마누엘라 모나리 글 ; 비르지니 수마냑 그림 ; 한리나 옮김,현암사,2010,6757
곰나무,최필호 글.그림,큰그림,2012,7812
젊은 베르테르의 슬픔 : 논술대비 세계명작,"괴테 원작 ,  박명희 엮음 ,  김세온 그림",지경사,2006,8888
(가고 싶은)유럽의 현대미술관,이은화 지음,아트북스,2011,7579
내 머릿속의 개들,이상운 지음,문학동네,2006,1665
자기계몽  : 자기 삶과 사회를 뒤바꾸는 꿈,이인 지음,인간사랑,2011,6070
(주말이 기다려지는)행복한 산행,월간 MOUNTAIN 글·사진,터치아트,2009,1534
그리스도인의 행복한 삶의 비밀,한나 휘톨 스미스 지음 ; 이재길 옮김,살림,2009,8872
조선언문실록,정주리  ; 시정곤 [공]지음,고즈윈,2011,7903
시크릿 뉴욕 : 로컬이 인정하는 올 어바웃 뉴욕,천현주 지음,시공사,2011,8468
떡갈나무 바라보기,"주디스 콜, 허버트 콜 지음, 후박나무 옮김",사계절,2004,5878
혼신의 글쓰기 혼신의 읽기,김윤식 지음,강,2011,1034
거울 옷을 입은 아이들,김진경 글 ; 조성흠 그림,문학동네,2009,5756
손녀딸 릴리에게 주는 편지,앨런 맥팔레인 지음 ; 이근영 옮김,랜덤하우스중앙,2005,4753
신화를 삼킨 섬  :이청준 장편소설 .1,이청준,열림원,0,9600
(초등학교 선생님이 함께 모여 쓴)세계사 이야기. 1,초등역사교사모임 지음 ; 민재회 그림,늘푸른아이들,2005,6880
나를 끌고 가는 너는 누구냐,박옥수 지음,온마인드,2011,1745
나는 경매로 반값에 집 산다,황지현 ; 송창섭 [공]지음,한국경제신문,2009,8961
(교실밖 그림수업)유화,이언 시더웨이 [지음] ; 정은미 옮김,김영사,2009,3229
아이디어의 발견,샘 해리슨 지음 ; 정연희 옮김,비즈니스맵,2009,1818
미국 영어발음 무작정 따라하기,오경은 ; 릭킴 [공]지음,길벗이지톡,2008,4772
(우리가 정말 알아야 할)우리 옛이야기 백가지. 2,서정오 글,현암사,2006,2859
에덴의 용,칼 세이건 지음 ; 임지원 옮김,사이언스북스,2010,1445
라파엘 전파,에드먼드 스윙글허스트 : 원형준 역,한국프뢰벨주식회사,1998,9540
국제사회의 대외인식과 한국관,이기완 [외]지음,매봉,2009,5490
진정한 나를 찾다  : 마음을 다스리는 명상,인드라 초한 지음  ; 나카지마 다카시 엮음  ; 양영철 옮김,경성라인,2012,3238
1942 대기근 : 삼백만 명이 굶어죽은 허난 대기근을 추적하다,멍레이 ; 관궈펑 ; 궈샤오양 [공]엮음 ; 고상희 옮김,글항아리,2013,1285
(플로리스트를 위한) 화훼장식학,한국화훼장식학회,부민문화사,2010,4380
파르마의 수도원 . 1,스탕달,민음사,2005,6132
유아교육학 탐구,양옥승 외[공]저,학지사,2002,3444
(사람의 마음을 사로잡는) 심리 화술 : 비즈니스와 일상적인 대화에서 지금 바로 사용할 수 있는 화술 결정판!,"사이토 이사무 지음, 이유영 옮김",시아출판사,2008,7969
(문화나들이 2000)엄마아빠 일요일에 여기가요,나들이연구모임 엮음,혜인,2000,5429
쥐돌이는 화가,이호백 글.그림,비룡소,2004,3293
발자국들이 남긴 길,고창환 지음,문학과지성사,2000,8513
어떻게 돈 걱정 없이 살 것인가,조병춘  ; 김후정 [공]지음,한국경제신문,2012,1374
천국보다 낯선 : 이장욱 장편소설,이장욱,민음사,2013,2019
"세계여행사전. 3, 일생에 한 번은 가고 싶은 성지 여행",내셔널 지오그래픽 엮음  ; 이혜경  ; 김귀숙  ; 이선희 [공]옮김,터치아트,2012,8467
파벌 : 민주노동당 정파 갈등의 기원과 종말,정영태 지음,이매진,2011,7440
일본 신화와 천황제 이데올로기 : 신화와 역사 사이에서,김후련 지음,책세상,2012,6331
철학연구 50년,이화여자대학교 한국문화 연구원,혜안,2003,2490
빌헬름 마이스터의 수업시대 . 1,"괴테, 요한 볼프강 폰",민음사,2005,4512
나는 궁금해 미치겠다 : 지구상에서 가장 무모한 남자의 9가지 기발한 인생실험,A.J. 제이콥스 지음 ; 이수정 옮김,살림출판사,2011,3679
Arthur and the lost diary,"Brown, Marc",Little Brown and company,2008,1404
21세기 한반도 백년대계,정용화...등저 ; 정보세계정치연구회 기획 ; 하영선 편,풀빛,2004,2997
소설의 숲에서 문학을 생각하다,박상준 지음,소명출판,2003,3529
(청소년)토지. 5,박경리 원작 ; 토지문학연구회 엮음,이룸,2003,9057
재즈 기타 코드북,이시자와 코지 지음 ; 신동수 번역,SR music,2008,8090
창의성 키우는 독서 학교 : 총명한 아이를 위한 독서방법,조미아 지음,경향에듀,2010,8635
웃음  : 베르나르 베르베르 장편소설. 1,베르나르 베르베르 지음  ; 이세욱 옮김,열린책들,2011,3562
초등 문학교육의 담론과 아동문학의 지평,임성규 지음,한국문화사,2008,9469
통합적 상담,Gerald Corey 지음 ; 현명호...[등]옮김,시그마프레스,2006,4346
비열한 시장과 도마뱀의 뇌,"테리 번햄 지음, 서은숙 옮김",갤리온,2008,3068
(어린이를 위한)잠자기 전 30분,예영 글 ; 김효진 그림,티즈맵출판사,2011,6002
타샤의 집,타샤 튜더 ; 토바 마틴 [공]지음 ; 리처드 브라운 찍음 ; 공경희 옮김,윌북,2007,2383
펠리컨 브리프,존 그리샴 지음 ; 정영목 옮김,시공사,2004,8137
바베트의 만찬 : 이자크 디네센 소설,이자크 디네센 지음 ; 노에미 비야무사 그림 ; 추미옥 역,문학동네,2012,4455
"친구야, 넌 어떤 행복을 꿈꾸니? : 제3세계 친구들이 보내는 희망의 편지","이은서, 김실[공] 글, 굿네이버스 공동기획",국민출판,2010,1303
운명의 고리,린 그레이엄 지음  ; 김효원 옮김,신영미디어,2012,6657
터치 아프리카,정해종 지음,생각의나무,2005,2166
"지난 10년, 놓쳐서는 안 될 아까운 책 : 전문가 46인이 뽑은 이 시대의 숨은 명저들",강수돌 외 지음,부키,2011,3076
잡곡의 과학과 문화,박철호 ; 박광근 ; 장광진 ; 최용순,강원대학교 출판부,2008,6389
위대한 개츠비,F. 스콧 피츠제럴드 지음 ; 민예령 옮김,보물창고,2012,2016
언제나 재즈처럼,정우식 지음 ; 이승열 그림,고려원북스,2008,5839
도리도리 두리두리 : 하루 30분 목 돌리기 건강체조,김성식 지음,띠앗,2010,4808
(모질게 토익)듣기만 해도 느는 토익,홍원표 지음,21세기북스,2010,7733
"영어, 리스닝 기본구문 무작정 따라하기",김재민 지음,길벗이지톡,2008,5115
"여름, 그 뜨거운 여름  : 오기환 수필집",오기환,소소리,2008,5594
(선생님도 몰래 보는)탐험 이야기 33가지,차윤선 글 ; 쌈팍 그림,을파소,2009,8497
플루타르크 영웅전 : 논술대비 세계명작,"플루타르크 원작, 이효성 엮음, 박요한 그림",지경사,2006,1911
용기,유영만 지음,위즈덤하우스,2007,1745
시가 내게로 왔다,김용택 지음,마음산책,2002,1825
자유 낙하,데이비드 위스너 지음 ; 이지유 해설,미래M＆B,2007,7796
"너는 스무 살, 아니 만 열아홉 살",박상률,사계절,2006,5296
볼 수 있으면 그릴 수 있다,조영설 저,아이리코스,2010,5083
(백기완 나의 한살매)사랑도 명예도 이름도 남김없이,백기완 지음,한겨레출판,2010,8122
멋스러운 우리 옛 그림,우리누리 글  ; 조명자 그림,주니어중앙,2012,4965
별똥별 아줌마가 들려주는 공룡 이야기,이지유 글 ; 이지유 ; 조경규 [공]그림,창비,2011,1885
셰익스피어와 후기 구조주의  : 햄릿｜오셀로｜리어 왕｜맥베스,권오숙 지음,동인,2007,5331
(입당구법순례행기를 통해 본) 신라인군상,김문경 지음,해상왕장보고기념사업회,2008,9893
제1권력. 1,히로세 다카시 지음  ; 이규원 옮김,프로메테우스,2010,6594
넉점반 [태국어 공동표기],이영경,창비,2007,5735
(마법천자문)고사성어 .2,김주희,아울북,2010,8402
까다로운 고객 유혹의 기술  : 고객의 마음을 단숨에 사로잡는 65가지 비결,조태현 지음,비전비엔피·비전코리아,2008,5475
허니문 100배 즐기기 : 세상에서 가장 달콤한 신혼여행,왕영호 [등]저,랜덤하우스,2009,8506
여자의 성공은 10대에 결정된다 : 세계 최고 여성 10인의 특별한 10대 이야기,김지영 지음,쌤앤파커스,2012,6016
행복한 두더지,김명석 지음,비룡소,2012,4766
습관을 바꾸는 심리학,이토 아키라 지음 ; 김정환 옮김,끌리는책,2012,9096
겨울새는 머물지 않는다,최종남 지음,문학의전당,2005,6697
파미르에서 윈난까지,이상엽 글.그림,현암사,2011,8570
꽃의 요정,베로니크 마세노 글  ; 김희연 그림  ; 조정훈 옮김,키즈엠,2012,5541
겨레얼을 빛낸 역사인물 100인,[박성수 외 공동집필],겨레얼살리기국민운동본부,2008,8846
골프는 90% 심리게임이다,헨리 비어드 지음 ; 윤은기 옮김,휴먼비즈니스,2008,9705
소방관이 된 철학교수,프랭크 맥클러스키 지음 ; 이종철 옮김,북섬,2007,8442
작은 아씨들 : 논술대비 세계명작,"루이자 메이, 올코트 원작, 강명희 엮음, 민경순 그림",지경사,2006,4223
(지구의) 수권과학,양성기 저,구미서관,2007,3363
CD만 들어라 영숙어가 저절로~외워진다,아카이다 다쿠야 지음 ; 은영미 옮김,나라원,2009,3395
숫자 벌레,함기석,비룡소,2011,6553
새들은 어떻게 길을 찾을까,로마 갠스 글  ; 폴 미로차 그림  ; 햇살과나무꾼 옮김,웅진,2005,4137
함께 있을 수 있다면. 2,"안나 가발다 지음, 이세욱 옮김",문학세계사,2006,1552
뜨겁게 안녕,김현진 지음,다산책방,2011,5837
"꾸밈과 갖춤의 예술, 장황  : Works of the Brush and Their Mounting",국립고궁박물관 [편저],국립고궁박물관,2008,9978
라틴아메리카 강의 노트,송영복 지음,상지사,2007,7378
Arthur and the lost diary,"Brown, Marc",Little Brown and company,2008,1404
국어문법,서정수 지음,뿌리깊은나무,1994,1805
껍데기 속에는 무엇이 살까,캐슬린 W.조펠드 글  ; 헬렌 K. 데이비 그림  ; 햇살과 나뭇꾼 옮김,웅진,2005,1605
애거서 크리스티 전집. 22 : 왜 에번스를 부르지 않았지?,애거서 크리스티 지음 ; 박인용 옮김,황금가지,2010,6191
여자의 일생 : 논술대비 세계명작,"기 드, 모파상 원작, 이상교 엮음, 최윤지 그림",지경사,2006,4505
종가의 제례와 음식. 1 : 의성김씨 학봉 김성일 종가,국립문화재연구소 편,김영사,2004,6171
양념 사용법,아오키 아츠코 지음  ; 구현숙 옮김,이아소,2012,1176
흡연 여성 잔혹사,서명숙 지음,웅진닷컴,2004,5701
윤휴와 침묵의 제국,이덕일 지음,다산초당,2011,7702
한국 민주주의의 현실과 도전 : 6월항쟁 그 이후,엮은이: 학술단체협의회 ; 민주화운동기념사업회 ; 지은이: 서경석 ; 정병기 ; 정태욱 ; 이재승 ; 노중기 ; 최병두 ;,한울,2007,5990
(위진남북조시대를 위한) 변명  : 속박과 방종의 경계에 서다,권중달 지음,삽도,2011,5852
제저벨 : 듀나 장편소설,듀나 지음,자음과모음,2012,6535
지붕,박상우 지음,지식의숲,2005,8837
